means,cond,test
0.002523953,single_c,pre
0.000874972,single_c,pre
0.010088212,single_c,pre
-0.000543093,single_c,pre
0.000977086,single_c,pre
0.006367653,single_c,pre
0.001010916,single_c,pre
0.00191732,single_c,pre
0.001070687,single_c,pre
0.000887409,single_c,pre
-0.00186117,single_c,pre
0.003709097,single_c,pre
0.0029505,single_c,pre
0.002731989,single_c,pre
0.010754486,single_c,pre
0.000952433,single_c,pre
0.002601265,single_p_t,pre
0.000938605,single_p_t,pre
0.006494862,single_p_t,pre
0.000784374,single_p_t,pre
0.00183023,single_p_t,pre
0.007473098,single_p_t,pre
0.000801893,single_p_t,pre
0.001582562,single_p_t,pre
0.000789079,single_p_t,pre
0.001111293,single_p_t,pre
-0.000216812,single_p_t,pre
0.00301649,single_p_t,pre
0.003368846,single_p_t,pre
0.00315252,single_p_t,pre
0.012630102,single_p_t,pre
0.00241316,single_p_t,pre
0.003890463,single_p_un,pre
0.000261653,single_p_un,pre
0.006235105,single_p_un,pre
0.000903239,single_p_un,pre
0.00099279,single_p_un,pre
0.005000375,single_p_un,pre
0.000633481,single_p_un,pre
0.001404142,single_p_un,pre
0.000225954,single_p_un,pre
0.001837161,single_p_un,pre
0.000619928,single_p_un,pre
0.002022745,single_p_un,pre
0.003895258,single_p_un,pre
0.002071746,single_p_un,pre
0.015184075,single_p_un,pre
0.001722375,single_p_un,pre
0.002981333,dual_t,pre
0.001206118,dual_t,pre
0.008488651,dual_t,pre
0.001026081,dual_t,pre
0.003250696,dual_t,pre
0.009553088,dual_t,pre
0.000493199,dual_t,pre
0.002964976,dual_t,pre
0.00117421,dual_t,pre
0.000973566,dual_t,pre
-0.001879386,dual_t,pre
0.00319746,dual_t,pre
0.004649104,dual_t,pre
0.004063879,dual_t,pre
0.01275381,dual_t,pre
0.003680138,dual_t,pre
0.004280446,dual_un,pre
0.000435505,dual_un,pre
0.005437327,dual_un,pre
0.001322579,dual_un,pre
0.000848139,dual_un,pre
0.005215694,dual_un,pre
0.000472778,dual_un,pre
0.002031154,dual_un,pre
0.001224609,dual_un,pre
0.002099644,dual_un,pre
-0.000880693,dual_un,pre
0.002204904,dual_un,pre
0.005697742,dual_un,pre
0.002251752,dual_un,pre
0.015207492,dual_un,pre
0.002456161,dual_un,pre
0.000256393,single_c,post
0.000174925,single_c,post
0.00149558,single_c,post
-0.000184919,single_c,post
0.000667326,single_c,post
0.001454743,single_c,post
0.000697377,single_c,post
0.000141065,single_c,post
0.000101848,single_c,post
0.000983187,single_c,post
0.000671555,single_c,post
0.000804707,single_c,post
0.001600408,single_c,post
0.002869857,single_c,post
0.006884056,single_c,post
-0.000515252,single_c,post
0.001463068,single_p_t,post
0.000792948,single_p_t,post
0.00066519,single_p_t,post
0.000601619,single_p_t,post
-0.000360078,single_p_t,post
0.002164601,single_p_t,post
0.001578777,single_p_t,post
0.001021441,single_p_t,post
0.001363932,single_p_t,post
0.000930638,single_p_t,post
0.001965729,single_p_t,post
0.00142548,single_p_t,post
0.000850135,single_p_t,post
0.004617134,single_p_t,post
0.009748089,single_p_t,post
0.001934056,single_p_t,post
0.001337587,single_p_un,post
-8.80E-05,single_p_un,post
0.001786846,single_p_un,post
0.000887275,single_p_un,post
-0.000316061,single_p_un,post
0.002507737,single_p_un,post
0.001106004,single_p_un,post
0.00119579,single_p_un,post
-0.000127117,single_p_un,post
0.001438166,single_p_un,post
0.001838059,single_p_un,post
0.001034896,single_p_un,post
-5.15E-05,single_p_un,post
0.003583047,single_p_un,post
0.005034312,single_p_un,post
0.001000063,single_p_un,post
0.002823877,dual_t,post
0.000585015,dual_t,post
0.00062151,dual_t,post
0.001457368,dual_t,post
0.000230732,dual_t,post
0.002251819,dual_t,post
0.001504592,dual_t,post
0.001101663,dual_t,post
0.000117971,dual_t,post
0.000851327,dual_t,post
0.001751184,dual_t,post
0.000954611,dual_t,post
0.000930863,dual_t,post
0.005214714,dual_t,post
0.008940293,dual_t,post
0.002293484,dual_t,post
0.001731877,dual_un,post
0.000436522,dual_un,post
0.001367255,dual_un,post
0.001607348,dual_un,post
0.000552527,dual_un,post
0.002266605,dual_un,post
0.001310326,dual_un,post
0.001358523,dual_un,post
0.001082435,dual_un,post
0.001686585,dual_un,post
0.001571988,dual_un,post
0.001109778,dual_un,post
0.001201424,dual_un,post
0.003304268,dual_un,post
0.003754874,dual_un,post
0.000676392,dual_un,post
-0.000119538,single_c,re
0.000255776,single_c,re
0.002077743,single_c,re
-0.000228637,single_c,re
0.000639627,single_c,re
0.001740526,single_c,re
0.000391156,single_c,re
0.000467333,single_c,re
-0.000116994,single_c,re
0.001002279,single_c,re
-0.000639516,single_c,re
0.001569471,single_c,re
0.00559038,single_c,re
0.00241706,single_c,re
0.006067429,single_c,re
-9.10E-05,single_c,re
0.001816848,single_p_t,re
0.000696747,single_p_t,re
0.001957419,single_p_t,re
0.000541399,single_p_t,re
0.000521122,single_p_t,re
0.00322021,single_p_t,re
0.001376402,single_p_t,re
0.000528013,single_p_t,re
0.000279054,single_p_t,re
0.00130669,single_p_t,re
0.001304174,single_p_t,re
0.001855673,single_p_t,re
0.003295987,single_p_t,re
0.003684945,single_p_t,re
0.011695912,single_p_t,re
0.001160492,single_p_t,re
0.002048346,single_p_un,re
0.000930286,single_p_un,re
0.003918775,single_p_un,re
0.001642971,single_p_un,re
0.000346892,single_p_un,re
0.002873714,single_p_un,re
0.001105744,single_p_un,re
0.001524882,single_p_un,re
0.000182366,single_p_un,re
0.000682061,single_p_un,re
0.000840526,single_p_un,re
0.002033695,single_p_un,re
0.001911732,single_p_un,re
0.00210217,single_p_un,re
0.006204555,single_p_un,re
0.001088924,single_p_un,re
0.002636062,dual_t,re
0.000636843,dual_t,re
0.002522827,dual_t,re
0.001640878,dual_t,re
0.000729246,dual_t,re
0.003002713,dual_t,re
0.001603312,dual_t,re
0.000991323,dual_t,re
0.000301354,dual_t,re
0.001591086,dual_t,re
0.001763961,dual_t,re
0.002147175,dual_t,re
0.001815377,dual_t,re
0.003659943,dual_t,re
0.012510879,dual_t,re
0.0017354,dual_t,re
0.003723897,dual_un,re
0.000585956,dual_un,re
0.003613364,dual_un,re
0.003692066,dual_un,re
0.000372135,dual_un,re
0.002650356,dual_un,re
0.001357121,dual_un,re
0.002307173,dual_un,re
-0.000192104,dual_un,re
0.00112134,dual_un,re
0.000834617,dual_un,re
0.001952604,dual_un,re
0.001678152,dual_un,re
0.002280868,dual_un,re
0.006073046,dual_un,re
0.002052278,dual_un,re